Song,OG Artist,OG Song,Band,Album,Track ID,Popularity,Preview URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
Uprising,Muse,Uprising,Muse,The Resistance,4VqPOruhp5EdPBeR92t6lQ,79,https://p.scdn.co/mp3-preview/529eb48df232955cdd3b870f21e2bd41f1657fae?cid=3502c8805da84b25aa0305556012150b,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,audio_features,304840,4
Will Of The People,Muse,Will Of The People,Muse,Will Of The People,2xO0NhSt9kzKBbNjNVixfC,59,https://p.scdn.co/mp3-preview/982c8995ff155b2a1242cb672f76ec21b31440a8?cid=3502c8805da84b25aa0305556012150b,0.362,0.947,11,-3.617,0,0.239,0.00895,0.0,0.285,0.583,130.005,audio_features,198850,4
Won’t Stand Down,Muse,Wont Stand Down,Muse,Will Of The People,6Wi8Byfq6xH0lEkqZbOZg9,60,https://p.scdn.co/mp3-preview/4af90766f8a0e8d02a74a8f9ed15ad94e429aa82?cid=3502c8805da84b25aa0305556012150b,0.514,0.882,7,-4.406,1,0.0862,0.0043,2.52e-06,0.156,0.424,104.85,audio_features,209061,4
Animals - 2020 Remaster,Nickelback,Animals,Nickelback,All The Right Reasons (15th Anniversary Expanded Edition),2TeEhtmhMQmUyQJhnJNvAs,74,https://p.scdn.co/mp3-preview/5b9f391e3967753e1c01dbb148f7c74ba00d5433?cid=3502c8805da84b25aa0305556012150b,0.593,0.957,7,-3.045,1,0.0499,0.000613,0.0287,0.219,0.802,154.019,audio_features,186587,4
Because of You,Nickelback,Because Of You,Nickelback,The Long Road,58xtmVtJnZSd8D8uU8SqxB,54,https://p.scdn.co/mp3-preview/a143beb42b324376cfe4466fe8fb81c7148246ac?cid=3502c8805da84b25aa0305556012150b,0.613,0.92,10,-4.405,0,0.0804,3.31e-05,0.00056,0.173,0.593,118.033,audio_features,210253,4
Bottoms Up,Nickelback,Bottoms Up,Nickelback,Here and Now,0FnugIN4Slm0weQqL8OXEM,59,https://p.scdn.co/mp3-preview/5f35038d2443249c603b2bbd64bea621784b1da4?cid=3502c8805da84b25aa0305556012150b,0.667,0.855,0,-3.088,1,0.0335,0.000249,0.0479,0.0888,0.868,113.99,audio_features,217427,4
Breathe,Nickelback,Breathe,Nickelback,The State,1yGJRFYLHNsS6eaSdOd4hi,39,https://p.scdn.co/mp3-preview/553206d4181353f5e7cd8adb86716eb8f18cc802?cid=3502c8805da84b25aa0305556012150b,0.564,0.956,8,-3.433,1,0.0756,0.0164,2.75e-06,0.273,0.414,121.952,audio_features,238600,4
Burn It to the Ground,Nickelback,Burn It To The Ground,Nickelback,Dark Horse,1jq28NGw6wdtFKx8MBPy6C,79,https://p.scdn.co/mp3-preview/122e00ab732041dd3128380d5bc89b0fc7e40fbc?cid=3502c8805da84b25aa0305556012150b,0.617,0.922,11,-3.474,1,0.0744,0.000247,0.388,0.363,0.6,132.059,audio_features,212347,4
Edge of a Revolution,Nickelback,Edge Of A Revolution,Nickelback,No Fixed Address,1DMHL5xsJOlr8RWHmfhlHU,55,https://p.scdn.co/mp3-preview/c25d4ce787f8034ff70d09c7a8d7ea9072c504be?cid=3502c8805da84b25aa0305556012150b,0.535,0.922,2,-6.852,1,0.0406,0.000121,0.0,0.104,0.711,161.911,audio_features,243061,4
Feed the Machine,Nickelback,Feed The Machine,Nickelback,Feed The Machine,6u0Z82GTYAP8ECjSCpudOE,55,https://p.scdn.co/mp3-preview/de214abf822392fd78ee8518ede1397eabd10bec?cid=3502c8805da84b25aa0305556012150b,0.548,0.961,5,-4.268,1,0.104,6.97e-06,0.0016,0.449,0.385,136.005,audio_features,302135,4
Feelin' Way Too Damn Good,Nickelback,Feelin Way Too Damn Good,Nickelback,The Long Road,4i2WUspbfNZCnhkypoFKrM,55,https://p.scdn.co/mp3-preview/e547e5ca3aef78cc12ea53c27c46ffcff5df5a3d?cid=3502c8805da84b25aa0305556012150b,0.51,0.818,5,-5.626,1,0.0415,0.000722,0.000659,0.151,0.395,156.05,audio_features,256453,4
Figured You Out,Nickelback,Figured You Out,Nickelback,The Long Road,1Yuim9eHBfG8YUJII28XDF,66,https://p.scdn.co/mp3-preview/5ef63b9e6ddc7c41004c5ce2eb94f2bbc510ab4c?cid=3502c8805da84b25aa0305556012150b,0.544,0.867,10,-5.527,1,0.0517,2.63e-05,0.0165,0.266,0.726,93.925,audio_features,228480,4
Get 'Em Up,Nickelback,Get Em Up,Nickelback,No Fixed Address,6M0vqx01WotWSe64bnyhuJ,54,https://p.scdn.co/mp3-preview/1a77f261a09873217a07d8ef8b658a188a561a7f?cid=3502c8805da84b25aa0305556012150b,0.741,0.845,2,-8.336,1,0.0281,0.0158,2.86e-06,0.326,0.699,105.999,audio_features,233181,4
Gotta Be Somebody,Nickelback,Gotta Be Somebody,Nickelback,Dark Horse,06T10fEzN8ZCcqzQZYA184,68,https://p.scdn.co/mp3-preview/936bf090af11a178531b9002ed7702c6a7c90c49?cid=3502c8805da84b25aa0305556012150b,0.536,0.89,0,-5.222,1,0.0601,0.000354,0.00165,0.133,0.205,115.998,audio_features,252653,4
How You Remind Me,Nickelback,How You Remind Me,Nickelback,Silver Side Up,0gmbgwZ8iqyMPmXefof8Yf,86,https://p.scdn.co/mp3-preview/94fd201045f5b682935957a8206075638dc4622d?cid=3502c8805da84b25aa0305556012150b,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,audio_features,223840,4
If Everyone Cared - 2020 Remaster,Nickelback,If Everyone Cared,Nickelback,All The Right Reasons (15th Anniversary Expanded Edition),0SRqIW98aSU2w3pAdKUMGB,63,https://p.scdn.co/mp3-preview/c5b103fe31f674f806c606f6d5ae872b44f9ac53?cid=3502c8805da84b25aa0305556012150b,0.517,0.847,6,-4.682,0,0.0357,0.000278,0.00505,0.278,0.185,132.053,audio_features,217973,4
If Today Was Your Last Day,Nickelback,If Today Was Your Last Day,Nickelback,Dark Horse,4QJLKU75Rg4558f4LbDBRi,72,https://p.scdn.co/mp3-preview/a4a9761b38270c07498f54e250c8640e57b2f2c0?cid=3502c8805da84b25aa0305556012150b,0.485,0.911,3,-5.749,1,0.0355,8.67e-05,0.0,0.092,0.568,89.956,audio_features,249067,4
Leader of Men,Nickelback,Leader Of Men,Nickelback,The State,4Vf9v7ohVz5i8PeZBliwb5,54,https://p.scdn.co/mp3-preview/6db3a0a082dc924ae1f2bb3fed81ff27ee02f99a?cid=3502c8805da84b25aa0305556012150b,0.495,0.696,9,-5.889,1,0.0422,0.00257,1.17e-05,0.113,0.219,103.327,audio_features,210840,4
Million Miles an Hour,Nickelback,Million Miles An Hour,Nickelback,No Fixed Address,6sFaqYu9xt00Os6RYaREFs,49,https://p.scdn.co/mp3-preview/a9d02f5b26e8e534a8a54b1ae8a25812089c9cc8?cid=3502c8805da84b25aa0305556012150b,0.608,0.791,10,-9.583,0,0.0442,1.28e-05,0.109,0.112,0.5,115.018,audio_features,250885,4
Must Be Nice,Nickelback,Must Be Nice,Nickelback,Feed the Machine,3LHFVQwFLoFLJRd1AFbPTZ,13,,0.619,0.916,0,-4.214,1,0.0459,0.000128,0.183,0.121,0.743,98.008,audio_features,222568,4
Never Again,Nickelback,Never Again,Nickelback,Silver Side Up,3K8rbysInYs6bEhMGgm0wh,60,https://p.scdn.co/mp3-preview/e0dbef21b98d8f6bec4f8a5bbdbe0fa68e743c0a?cid=3502c8805da84b25aa0305556012150b,0.592,0.907,7,-3.651,1,0.0541,0.000428,2.09e-05,0.0681,0.919,135.674,audio_features,260827,4
Old Enough,Nickelback,Old Enough,Nickelback,The State,7b8joOxz7dLSIPZHPpwTqh,36,https://p.scdn.co/mp3-preview/102a5f6c0dfab0567bc392aa5a543579386c6a61?cid=3502c8805da84b25aa0305556012150b,0.309,0.964,7,-3.452,0,0.0881,0.000679,1.49e-06,0.196,0.239,141.725,audio_features,165733,4
Photograph,Nickelback,Photograph,Nickelback,All the Right Reasons,3hb2ScEVkGchcAQqrPLP0R,70,https://p.scdn.co/mp3-preview/18759c470fdb1a0cc7fcbd2069f0045f27c73aa7?cid=3502c8805da84b25aa0305556012150b,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,audio_features,258920,4
Rockstar,Nickelback,Rockstar,Nickelback,All the Right Reasons (Walmart Exclusive Edition),3RlsVPIIs5KFhLFhxZ4iDF,69,https://p.scdn.co/mp3-preview/2391f026967b74197a7c92e770fcf080abc81c62?cid=3502c8805da84b25aa0305556012150b,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,audio_features,252040,4
San Quentin,Nickelback,San Quentin,Nickelback,Get Rollin',2fDy68BuFDTa7UGVicym4Z,66,https://p.scdn.co/mp3-preview/ae98539bea67b0659e6957097d90f3e2353f60cd?cid=3502c8805da84b25aa0305556012150b,0.671,0.934,0,-4.496,1,0.0486,0.000145,1.81e-05,0.104,0.832,124.005,audio_features,211458,4
Savin' Me,Nickelback,Savin Me,Nickelback,All the Right Reasons,4Gd9PUEuOTOJtbgd4YxLXM,70,https://p.scdn.co/mp3-preview/fe5936cff898b0677b93d01e9f7ad849dacf3432?cid=3502c8805da84b25aa0305556012150b,0.441,0.815,3,-4.088,1,0.0276,0.000731,0.0,0.414,0.522,164.007,audio_features,219320,4
Shakin' Hands,Nickelback,Shakin Hands,Nickelback,Dark Horse,4Jn9QEd4nKFPqeCdL4TsZM,65,https://p.scdn.co/mp3-preview/c92f02cac83198188fd2881ef3c7f61d54fd82ec?cid=3502c8805da84b25aa0305556012150b,0.649,0.958,0,-2.999,1,0.0509,0.000654,9.45e-05,0.319,0.845,138.039,audio_features,219840,4
Side Of A Bullet - 2020 Remaster,Nickelback,Side Of A Bullet,Nickelback,All The Right Reasons (15th Anniversary Expanded Edition),7oC38IPIFrTy9t44lRiKN6,55,https://p.scdn.co/mp3-preview/46f8e16484236cff773d9500931d1d84b63c2254?cid=3502c8805da84b25aa0305556012150b,0.64,0.941,4,-2.501,1,0.0602,0.000281,0.027,0.0234,0.859,132.939,audio_features,180547,4
Skinny Little Missy,Nickelback,Skinny Little Missy,Nickelback,Get Rollin',2JraK2abEZ2fkpFD7VSfLY,17,,0.558,0.884,5,-4.53,1,0.0513,0.000483,4.97e-06,0.144,0.605,83.956,audio_features,217536,4
Someday,Nickelback,Someday,Nickelback,The Long Road,4PkJ7c9y1CwpuVOiJODnCZ,75,https://p.scdn.co/mp3-preview/a4d8a8dc29537ceb6d50b20e7571ff1b51886483?cid=3502c8805da84b25aa0305556012150b,0.455,0.858,11,-5.659,0,0.0391,0.000616,0.000247,0.226,0.597,163.118,audio_features,207467,4
Something in Your Mouth,Nickelback,Something In Your Mouth,Nickelback,Dark Horse,6wO0vMRAJB0r1lEWBJZNOq,70,https://p.scdn.co/mp3-preview/9b137e728adec4bc735eaac4fe8636154a728f70?cid=3502c8805da84b25aa0305556012150b,0.663,0.977,0,-3.024,1,0.0575,0.00137,1.77e-05,0.173,0.746,129.975,audio_features,219253,4
This Means War,Nickelback,This Means War,Nickelback,Here and Now,4i76vmvahz5a4MhinU59sI,57,https://p.scdn.co/mp3-preview/d8f68983cae0deaa2d2a8092dfd501486b230c95?cid=3502c8805da84b25aa0305556012150b,0.559,0.967,10,-3.157,0,0.0777,3.74e-05,0.276,0.328,0.806,133.992,audio_features,200667,4
Those Days,Nickelback,Those Days,Nickelback,Get Rollin',5ZQSKzxwW86JEosVUWDoRm,60,https://p.scdn.co/mp3-preview/57ee8d7c69c022255624274b0e2fc0ba2257e780?cid=3502c8805da84b25aa0305556012150b,0.504,0.918,0,-5.475,1,0.0462,0.00228,0.0,0.147,0.674,165.911,audio_features,219044,4
Too Bad,Nickelback,Too Bad,Nickelback,Silver Side Up,2cCWbBmadLbKvr9xddC79R,65,https://p.scdn.co/mp3-preview/37645b9e6693cc203248a4f6e37510b28396f4f0?cid=3502c8805da84b25aa0305556012150b,0.598,0.808,10,-5.209,1,0.0388,0.00304,0.0,0.147,0.288,128.025,audio_features,232240,4
About A Girl,Nirvana,About A Girl,Nirvana,Bleach,2SHTKB8YYlawTGIuJ2b2ok,82,https://p.scdn.co/mp3-preview/21a44c2cce969651f84906817a016d894508eb50?cid=3502c8805da84b25aa0305556012150b,0.413,0.875,6,-7.48,0,0.031,5.13e-06,0.00058,0.209,0.575,131.951,audio_features,168429,4
All Apologies,Nirvana,All Apologies,Nirvana,In Utero,1Ic9pKxGSJGM0LKeqf6lGe,76,,0.446,0.632,1,-12.197,1,0.034,0.0793,0.000266,0.0881,0.359,113.176,audio_features,233173,4
Aneurysm,Nirvana,Aneurysm,Nirvana,Incesticide,0Pie5DFAHHxpkONFUsAI6s,68,,0.298,0.823,7,-9.793,1,0.0816,7.66e-05,7.53e-05,0.132,0.235,135.596,audio_features,275600,4
Come As You Are,Nirvana,Come As You Are,Nirvana,Nevermind (Remastered),2RsAajgo0g7bMCHxwH3Sk0,82,,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,audio_features,218920,4
In Bloom,Nirvana,In Bloom,Nirvana,Nevermind (Remastered),2mvffzYUJ9Ld9xhsF5DUjU,71,,0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,audio_features,255080,4
Lake Of Fire - Live,Nirvana,Lake Of Fire,Nirvana,MTV Unplugged In New York,4UJmPSJsBsIR1U0N79BU1g,70,,0.541,0.618,1,-9.652,0,0.179,0.277,4.02e-05,0.413,0.68,145.464,audio_features,175973,4
Lithium,Nirvana,Lithium,Nirvana,Nevermind (Remastered),5vHLwhxxlGzmClMcxRRFPr,75,,0.678,0.656,7,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207,audio_features,257053,4
Smells Like Teen Spirit,Nirvana,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),4CeeEOM32jQcH3eN9Q2dGj,85,,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,audio_features,301920,4
The Man Who Sold The World - Live,Nirvana,The Man Who Sold The World,Nirvana,MTV Unplugged In New York,15VRO9CQwMpbqUYA7e6Hwg,78,,0.483,0.753,1,-8.937,0,0.0832,0.425,0.000142,0.257,0.42,115.102,audio_features,261093,4
You Know You're Right,Nirvana,You Know Youre Right,Nirvana,Nirvana,5O8L4I2S4izFGDjvP7xAKv,73,,0.289,0.716,5,-6.53,0,0.106,0.0407,0.00123,0.135,0.344,168.049,audio_features,217000,4
Dead Inside - Instrumental,nita strauss,Dead Inside,Nita Strauss,The Call of the Void,0xljWYV92ThlOO6XcmyvWK,26,,0.447,0.847,2,-4.521,1,0.0421,7.47e-06,0.767,0.121,0.272,173.99,audio_features,238363,4
Victorious (feat. Dorothy),nita strauss,Victorious,Nita Strauss,The Call of the Void,2BZsYwFz6ohrbeURxUzTv9,43,,0.376,0.903,7,-3.424,0,0.0829,5.16e-05,0.0,0.152,0.558,168.077,audio_features,221502,4
A Thousand Shades (feat. Jeff Beck),Ozzy Osbourne,A Thousand Shades,Ozzy Osbourne,Patient Number 9,35OjKODzqSMrllo8vFFJZz,47,https://p.scdn.co/mp3-preview/3cec60f267d247192ee4ab9c638b66a81e0858f7?cid=3502c8805da84b25aa0305556012150b,0.371,0.652,6,-3.838,0,0.0312,0.00107,2.48e-06,0.601,0.204,81.044,audio_features,266428,4
Bark at the Moon,Ozzy Osbourne,Bark At The Moon,Ozzy Osbourne,Bark At The Moon (Expanded Edition),2E7W1X4maFFcjHrVrFA7Vs,67,https://p.scdn.co/mp3-preview/823326c7dec351ae0dc22c8f7a75b3f68875dcfb?cid=3502c8805da84b25aa0305556012150b,0.303,0.961,9,-5.333,0,0.243,0.00253,6.2e-05,0.132,0.305,146.591,audio_features,257120,4
Black Rain,Ozzy Osbourne,Black Rain,Ozzy Osbourne,Black Rain (Expanded Edition),1NXguUURlFigDpGEcdKVUT,44,https://p.scdn.co/mp3-preview/89bcb4ceb00243eaea95c3d0208eabc4d986b2af?cid=3502c8805da84b25aa0305556012150b,0.539,0.874,2,-5.653,1,0.0484,0.0114,0.0,0.357,0.428,116.934,audio_features,282413,4
Changes - Live 1991-1992,Ozzy Osbourne,Changes,Ozzy Osbourne,LIVE & LOUD,064pRIF6wtLy1HOmEVuxdT,30,https://p.scdn.co/mp3-preview/e255d48dabf749a2aad3c8cf5000f2e3b1fb151f?cid=3502c8805da84b25aa0305556012150b,0.29,0.401,0,-10.616,1,0.0299,0.00171,0.0512,0.969,0.214,80.732,audio_features,312000,3
Crazy Train,Ozzy Osbourne,Crazy Train,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),7ACxUo21jtTHzy7ZEV56vU,80,https://p.scdn.co/mp3-preview/82413173824c77d38be0f2db4456ebf289d12f05?cid=3502c8805da84b25aa0305556012150b,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,audio_features,293183,4
Dreamer,Ozzy Osbourne,Dreamer,Ozzy Osbourne,Down To Earth,78PKCefXwDLbl4FVO1Pjzh,64,https://p.scdn.co/mp3-preview/7142ca275b97edfe9a7e83a973707edb71968c60?cid=3502c8805da84b25aa0305556012150b,0.493,0.636,1,-7.408,1,0.0256,0.0629,2.49e-06,0.0921,0.279,79.419,audio_features,284907,4
Flying High Again,Ozzy Osbourne,Flying High Again,Ozzy Osbourne,Diary Of A Madman,3VPcxdwwo9TcjAOYZa5ZrP,56,https://p.scdn.co/mp3-preview/aa6f8efd50b53e19a791e8358d427fb2137863e4?cid=3502c8805da84b25aa0305556012150b,0.315,0.938,1,-6.264,1,0.086,0.00499,5.6e-05,0.19,0.527,125.277,audio_features,284107,4
Gets Me Through,Ozzy Osbourne,Gets Me Through,Ozzy Osbourne,Down To Earth,4MN0ZmFppiiQsPE9HQKKsH,43,https://p.scdn.co/mp3-preview/77666988fd6d76f8d7cfd8d85b53491d72bb1423?cid=3502c8805da84b25aa0305556012150b,0.431,0.835,4,-6.162,0,0.0392,0.000623,0.000149,0.428,0.303,147.982,audio_features,304280,4
I Don't Wanna Stop,Ozzy Osbourne,I Dont Wanna Stop,Ozzy Osbourne,Black Rain (Expanded Edition),5axOkQnmQmwtjr4bv1Xt7i,69,https://p.scdn.co/mp3-preview/2345841f007ee718cdf04c4470c6a95f651a45fe?cid=3502c8805da84b25aa0305556012150b,0.578,0.937,5,-3.926,1,0.0724,0.000963,2.25e-06,0.4,0.769,137.937,audio_features,239827,4
I Just Want You,Ozzy Osbourne,I Just Want You,Ozzy Osbourne,Ozzmosis (Expanded Edition),1anIy4FRJbu7N8ASed1bcE,55,https://p.scdn.co/mp3-preview/4a180dc8ef90303ba05a8abc35e35cc2ceba376b?cid=3502c8805da84b25aa0305556012150b,0.252,0.915,10,-5.967,0,0.0574,0.000595,5.4e-05,0.0724,0.428,171.142,audio_features,296120,4
Let It Die,Ozzy Osbourne,Let It Die,Ozzy Osbourne,Scream (Expanded Edition),2SVejMRhsrr8FdfDx8tHYr,45,https://p.scdn.co/mp3-preview/584681c991483ad92db37c1188ac27bf4afb3dcd?cid=3502c8805da84b25aa0305556012150b,0.214,0.874,0,-3.421,1,0.111,0.000383,4.85e-05,0.264,0.432,152.064,audio_features,365813,4
Let Me Hear You Scream,Ozzy Osbourne,Let Me Hear You Scream,Ozzy Osbourne,Scream (Expanded Edition),36WNQJFVjYhDRZ6vJhYXEh,58,https://p.scdn.co/mp3-preview/0ae41e3a38978fd9a08b314105a7be7a9b6c44e3?cid=3502c8805da84b25aa0305556012150b,0.492,0.979,0,-2.315,1,0.0888,0.000367,0.0,0.953,0.315,130.005,audio_features,205800,4
Life Won't Wait,Ozzy Osbourne,Life Wont Wait,Ozzy Osbourne,Scream (Expanded Edition),59s5LvLmDIxYJa4j4Stuvo,40,https://p.scdn.co/mp3-preview/b40271569add9abd25ff156c53b1c4474203abe5?cid=3502c8805da84b25aa0305556012150b,0.466,0.657,6,-4.356,1,0.0355,0.00216,5.5e-06,0.223,0.369,85.961,audio_features,306827,4
"Mama, I'm Coming Home",Ozzy Osbourne,Mama Im Coming Home,Ozzy Osbourne,No More Tears (Expanded Edition),0S3gpZzlT9Hb7CCSV2owX7,70,https://p.scdn.co/mp3-preview/c278e697ce9fc1e9725210e9bbb2ca624cd39798?cid=3502c8805da84b25aa0305556012150b,0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,audio_features,251867,4
Mississippi Queen,Ozzy Osbourne,Mississippi Queen,Ozzy Osbourne,Under Cover,2xW7q9aRB7GKk69FhBfjyC,37,https://p.scdn.co/mp3-preview/f7ff7599ec394e08850642c2ae18509bf22bbff4?cid=3502c8805da84b25aa0305556012150b,0.528,0.935,7,-2.329,1,0.0785,0.0507,0.00029,0.072,0.544,130.025,audio_features,251400,4
Mr. Tinkertrain,Ozzy Osbourne,Mr Tinkertrain,Ozzy Osbourne,No More Tears (Expanded Edition),7hjIktpd4oMAnMvFymDZIt,52,https://p.scdn.co/mp3-preview/b79f169d3e11aa1de5ac2700248c88f415aafb8e?cid=3502c8805da84b25aa0305556012150b,0.36,0.907,1,-7.138,1,0.0829,0.000435,0.00043,0.361,0.458,126.144,audio_features,356853,4
No More Tears,Ozzy Osbourne,No More Tears,Ozzy Osbourne,No More Tears (Expanded Edition),7w6PJe5KBPyvuRYxFkPssC,75,https://p.scdn.co/mp3-preview/ae9f4164e51e875e0e46fd26d5a87387003f8c45?cid=3502c8805da84b25aa0305556012150b,0.346,0.749,6,-6.506,1,0.035,0.00167,8.86e-05,0.648,0.315,102.591,audio_features,443240,4
Not Going Away,Ozzy Osbourne,Not Going Away,Ozzy Osbourne,Black Rain (Expanded Edition),7xyauCIams30DLpAplU2PW,44,https://p.scdn.co/mp3-preview/cf140ac0222e3f78d79cf5a9e36ff1f2a75938a3?cid=3502c8805da84b25aa0305556012150b,0.457,0.91,7,-4.254,1,0.0438,0.0034,0.0,0.365,0.538,83.959,audio_features,272240,4
One of Those Days (feat. Eric Clapton),Ozzy Osbourne,One Of Those Days,Ozzy Osbourne,Patient Number 9,2lcfGO79t1PqcXc2Mbxyd5,53,https://p.scdn.co/mp3-preview/5109504acb10e3cecbd5b86e122f6ca68315be7f?cid=3502c8805da84b25aa0305556012150b,0.412,0.835,3,-4.342,0,0.0335,0.000434,0.457,0.106,0.313,81.958,audio_features,280207,4
Ordinary Man (feat. Elton John),Ozzy Osbourne,Ordinary Man,Ozzy Osbourne,Ordinary Man (feat. Elton John),6eEYGGFfFbtKHCgJM4uh9v,56,https://p.scdn.co/mp3-preview/25dcb3c43a777760a10b408e39c6d8ec88dd7c97?cid=3502c8805da84b25aa0305556012150b,0.428,0.599,4,-2.135,1,0.0286,0.0665,9.86e-06,0.137,0.134,125.83,audio_features,301730,4
Over the Mountain,Ozzy Osbourne,Over The Mountain,Ozzy Osbourne,Diary Of A Madman,0i1RTnH2Lj5gTDRU5wtyT2,57,https://p.scdn.co/mp3-preview/c088314c78e8ac9aaf3dd83b18d4cb1528408579?cid=3502c8805da84b25aa0305556012150b,0.493,0.866,0,-5.665,1,0.0976,0.00178,2.23e-05,0.0775,0.489,131.06,audio_features,271520,4
Paranoid - Live 1981,Ozzy Osbourne,PARANOID,Ozzy Osbourne,Tribute,6hXXWtLQvIW8Ba3z86C0Mi,42,https://p.scdn.co/mp3-preview/e5d8de0fe967613e6923b1de3123ae65e2162a18?cid=3502c8805da84b25aa0305556012150b,0.236,0.993,4,-4.568,0,0.12,0.0261,7.2e-05,0.969,0.0586,171.655,audio_features,180200,4
Patient Number 9 (feat. Jeff Beck),Ozzy Osbourne,Patient Number 9,Ozzy Osbourne,Patient Number 9,3YYnFEXCLNbaWuC0hIEnIS,54,https://p.scdn.co/mp3-preview/97b90fce833301b21be53445170662620a3aa95b?cid=3502c8805da84b25aa0305556012150b,0.318,0.87,5,-4.246,1,0.0652,0.000195,0.192,0.133,0.297,169.906,audio_features,441402,4
Perry Mason,Ozzy Osbourne,Perry Mason,Ozzy Osbourne,Ozzmosis (Expanded Edition),5yckiSASyeQLPgpBZkXIbu,58,https://p.scdn.co/mp3-preview/2e375722644384ce4b6f05760484f7e79f954db2?cid=3502c8805da84b25aa0305556012150b,0.349,0.895,9,-5.98,1,0.0814,4.7e-05,0.00111,0.0387,0.478,135.157,audio_features,353800,3
Rock 'n' Roll Rebel,Ozzy Osbourne,ROCK N ROLL REBEL,Ozzy Osbourne,Bark At The Moon (Expanded Edition),6eQ6RG2y9ZzcVLllGolclR,45,https://p.scdn.co/mp3-preview/a1268173b2894d14489931bec17d454cf02914cd?cid=3502c8805da84b25aa0305556012150b,0.427,0.892,2,-5.377,1,0.041,0.00128,0.0,0.236,0.538,126.434,audio_features,328453,4
Road to Nowhere,Ozzy Osbourne,Road To Nowhere,Ozzy Osbourne,No More Tears (Expanded Edition),0gXMYs6RDg5muWWoi2q3mb,54,https://p.scdn.co/mp3-preview/a4fa1588fea8b1fbf99d12d53affe2e01fa35f01?cid=3502c8805da84b25aa0305556012150b,0.225,0.791,1,-6.416,1,0.0435,0.000283,1.39e-05,0.108,0.527,77.587,audio_features,309360,4
See You on the Other Side,Ozzy Osbourne,See You On The Other Side,Ozzy Osbourne,Ozzmosis (Expanded Edition),1Hs2MG2LBJaSPk7X0fzmfk,54,https://p.scdn.co/mp3-preview/00394fe5d34a228c630e031d6f9d4a55e5e85814?cid=3502c8805da84b25aa0305556012150b,0.369,0.705,6,-7.138,1,0.0402,0.00065,0.000123,0.104,0.561,110.42,audio_features,370427,5
Shot in the Dark,Ozzy Osbourne,Shot In The Dark,Ozzy Osbourne,The Ultimate Sin,31dqpLUModJWNbxrXu6TWd,66,https://p.scdn.co/mp3-preview/d72cbb4f67de730a56d496dc75c92f6e3e834dee?cid=3502c8805da84b25aa0305556012150b,0.581,0.791,6,-7.262,1,0.0324,0.00835,6.02e-05,0.142,0.619,123.887,audio_features,256293,3
Straight to Hell,Ozzy Osbourne,Straight To Hell,Ozzy Osbourne,Ordinary Man,1mbPPfppc4tbxyvSRpgPrY,51,https://p.scdn.co/mp3-preview/cce4ee451d048740e219bc5d98d9cba26b59542d?cid=3502c8805da84b25aa0305556012150b,0.436,0.761,8,-2.43,1,0.0506,0.00127,0.00403,0.173,0.282,142.027,audio_features,225027,4
Time After Time,Ozzy Osbourne,Time After Time,Ozzy Osbourne,No More Tears (Expanded Edition),1U7WBCkBxc7bGeP6v5juEq,46,https://p.scdn.co/mp3-preview/6d85a38ee13c84f90c58b297d48efc5b49a29721?cid=3502c8805da84b25aa0305556012150b,0.276,0.591,1,-7.969,1,0.0302,0.000473,4.26e-05,0.0753,0.15,74.646,audio_features,260267,4
Under the Graveyard,Ozzy Osbourne,Under The Graveyard,Ozzy Osbourne,Under the Graveyard,0C4bx13JIMSWOAxd8TaoVq,56,https://p.scdn.co/mp3-preview/471102e1cc42d97d56522d2f80502d33a74efc67?cid=3502c8805da84b25aa0305556012150b,0.496,0.88,1,-2.242,0,0.0359,0.00151,2.92e-05,0.0592,0.148,140.009,audio_features,297682,4
You Can't Kill Rock and Roll,Ozzy Osbourne,You Cant Kill Rock And Roll,Ozzy Osbourne,Diary Of A Madman,2Gv8N5uCG9aACVDfEq7Zcv,47,https://p.scdn.co/mp3-preview/f5126652c23da200d5eca9928b57eef7453a21ca?cid=3502c8805da84b25aa0305556012150b,0.325,0.834,3,-7.239,1,0.0615,0.017,3.84e-05,0.0772,0.314,135.066,audio_features,419520,4
