Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
Wake Me Up When September Ends,Green Day,07.30.05,12,12 Wks,09.17.05
Let Yourself Go,Green Day,10.13.12,11,12 Wks,11.17.12
Oh Love,Green Day,08.04.12,5,12 Wks,08.25.12
The American Dream Is Killing Me,Green Day,11.04.23,1,8 WKS,11.25.23
Longview,Green Day,05.21.94,13,12 Wks,07.02.94
East Jesus Nowhere,Green Day,10.17.09,35,12 Wks,10.24.09
21 Guns,Green Day,06.27.09,17,12 Wks,08.15.09
Hitchin' A Ride,Green Day,09.20.97,9,12 Wks,10.25.97
She,Green Day,05.20.95,18,12 Wks,07.22.95
Pollyanna,Green Day,06.19.21,27,12 Wks,08.07.21
X-Kid,Green Day,02.16.13,23,12 Wks,04.13.13
Geek Stink Breath,Green Day,10.07.95,9,12 Wks,10.28.95
Minority,Green Day,09.16.00,15,12 Wks,10.21.00
Working Class Hero,Green Day,05.19.07,18,12 Wks,06.23.07
Warning,Green Day,12.30.00,24,12 Wks,02.17.01
J.A.R.,Green Day,08.12.95,17,12 Wks,09.09.95
Walking Contradiction,Green Day,06.22.96,25,12 Wks,07.20.96
The Saints Are Coming,U2 & Green Day,10.28.06,33,12 Wks,11.18.06
Dilemma,Green Day,02.10.24,13,12 Wks,03.02.24
Need A Little Taste Of Love,The Doobie Brothers,06.03.89,3,12 Wks,07.29.89
Dangerous,The Doobie Brothers,04.13.91,2,12 Wks,05.11.91
Rollin' On,The Doobie Brothers,07.06.91,12,12 Wks,08.17.91
The Doctor,The Doobie Brothers,05.20.89,1,3 WKS,05.27.89
South Of The Border,The Doobie Brothers,06.10.89,30,12 Wks,06.17.89
How You Remind Me,Nickelback,07.28.01,1,13 WKS,09.15.01
Figured You Out,Nickelback,11.15.03,1,13 WKS,01.24.04
Animals,Nickelback,11.26.05,1,6 WKS,02.11.06
Too Bad,Nickelback,12.15.01,1,3 WKS,04.27.02
Rockstar,Nickelback,07.29.06,4,12 Wks,10.28.06
Never Again,Nickelback,07.20.02,1,3 WKS,10.05.02
Something In Your Mouth,Nickelback,11.29.08,1,4 WKS,03.07.09
San Quentin,Nickelback,09.17.22,2,12 Wks,12.31.22
Someday,Nickelback,08.16.03,2,12 Wks,09.13.03
Feelin' Way Too Damn Good,Nickelback,05.15.04,3,12 Wks,07.03.04
Leader Of Men,Nickelback,03.04.00,8,12 Wks,05.13.00
Burn It To The Ground,Nickelback,05.30.09,3,12 Wks,09.12.09
Because Of You,Nickelback,09.25.04,7,12 Wks,12.11.04
Photograph,Nickelback,08.20.05,1,7 WKS,10.01.05
Bottoms Up,Nickelback,10.08.11,2,12 Wks,11.26.11
This Means War,Nickelback,02.25.12,6,12 Wks,05.05.12
Edge Of A Revolution,Nickelback,09.06.14,1,2 WKS,10.25.14
Shakin' Hands,Nickelback,12.05.09,11,12 Wks,02.20.10
Side Of A Bullet,Nickelback,03.17.07,7,12 Wks,06.09.07
Savin' Me,Nickelback,03.11.06,11,12 Wks,06.17.06
Million Miles An Hour,Nickelback,12.06.14,11,12 Wks,01.31.15
Those Days,Nickelback,04.01.23,23,12 Wks,06.17.23
Skinny Little Missy,Nickelback,10.28.23,20,12 Wks,01.20.24
Breathe,Nickelback,08.12.00,10,12 Wks,10.21.00
Feed The Machine,Nickelback,02.25.17,12,12 Wks,04.22.17
Gotta Be Somebody,Nickelback,10.18.08,9,12 Wks,11.01.08
Old Enough,Nickelback,12.23.00,24,12 Wks,02.10.01
Must Be Nice,Nickelback,07.08.17,30,12 Wks,08.05.17
If Today Was Your Last Day,Nickelback,04.25.09,32,12 Wks,05.09.09
If Everyone Cared,Nickelback,03.24.07,37,12 Wks,03.24.07
Get 'Em Up,Nickelback,07.11.15,40,12 Wks,07.11.15
Mysterious Ways,U2,11.30.91,1,12 WKS,12.14.91
Beautiful Day,U2,09.23.00,14,12 Wks,10.28.00
Vertigo,U2,10.09.04,3,12 Wks,11.27.04
Where The Streets Have No Name,U2,04.04.87,11,12 Wks,08.29.87
God Part II,U2,10.22.88,8,12 Wks,04.01.89
When Love Comes To Town,U2,10.22.88,2,12 Wks,01.21.89
One,U2,03.14.92,1,2 WKS,04.18.92
(Pride) In The Name Of Love,U2,09.15.84,2,12 Wks,10.13.84
I Still Haven't Found What I'm Looking For,U2,03.28.87,2,12 Wks,05.23.87
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,06.10.95,1,1 WKS,08.05.95
Staring At The Sun,U2,03.15.97,2,12 Wks,05.03.97
Bullet The Blue Sky,U2,04.04.87,14,12 Wks,06.13.87
Angel Of Harlem,U2,10.22.88,1,6 WKS,12.10.88
"Sunday, Bloody Sunday",U2,04.16.83,7,12 Wks,06.04.83
Even Better Than The Real Thing,U2,07.04.92,1,3 WKS,08.01.92
Who's Gonna Ride Your Wild Horses,U2,01.25.92,2,12 Wks,12.05.92
Until The End Of The World,U2,02.01.92,5,12 Wks,03.14.92
Elevation,U2,05.05.01,21,12 Wks,06.16.01
All Because Of You,U2,01.08.05,20,12 Wks,02.12.05
Atomic City,U2,10.14.23,32,12 Wks,12.09.23
With Or Without You,U2,03.21.87,1,5 WKS,04.04.87
In God's Country,U2,04.11.87,6,12 Wks,01.09.88
Bad,U2,08.24.85,19,12 Wks,09.28.85
Walk On,U2,01.27.01,19,12 Wks,03.17.01
I Will Follow,U2,04.18.81,20,12 Wks,04.25.81
Desire,U2,10.01.88,1,5 WKS,10.08.88
"Stay (Faraway, So Close!)",U2,07.31.93,12,12 Wks,12.18.93
Three Sunrises,U2,06.22.85,16,12 Wks,07.20.85
Spanish Eyes,U2,06.27.87,11,12 Wks,08.08.87
Zooropa,U2,07.24.93,8,12 Wks,09.04.93
All I Want Is You,U2,07.01.89,13,12 Wks,07.29.89
Discotheque,U2,01.25.97,6,12 Wks,02.15.97
TWO HEARTS BEAT AS ONE,U2,06.11.83,12,12 Wks,07.16.83
NEW YEAR's DAY,U2,03.12.83,2,12 Wks,03.26.83
Magnificent,U2,03.28.09,29,12 Wks,05.09.09
Electrical Storm,U2,09.28.02,26,12 Wks,10.12.02
ELEVEN O'CLOCK TICK-TOCK,U2,12.10.83,30,12 Wks,01.21.84
Wire,U2,12.08.84,31,12 Wks,01.05.85
Last Night On Earth,U2,07.05.97,18,12 Wks,08.02.97
The Fly,U2,10.26.91,2,12 Wks,11.16.91
The Saints Are Coming,U2 & Green Day,10.28.06,33,12 Wks,11.18.06
Get On Your Boots,U2,02.07.09,26,12 Wks,02.21.09
Stuck In A Moment You Can't Get Out Of,U2,09.22.01,35,12 Wks,10.06.01
Sweetest Thing,U2,10.24.98,31,12 Wks,10.31.98
Night And Day,U2,11.10.90,34,12 Wks,11.17.90
SURRENDER,U2,07.16.83,27,12 Wks,07.16.83
Invisible,U2,02.22.14,27,12 Wks,02.22.14
A Sort Of Homecoming,U2,04.13.85,45,12 Wks,04.13.85
Numb,U2,07.10.93,18,12 Wks,07.10.93
Jesus Christ,U2,09.10.88,38,12 Wks,09.10.88
Everlasting Love,U2,08.05.89,46,12 Wks,08.05.89
Heroin,Badflower,12.22.18,1,1 WKS,05.25.19
Ghost,Badflower,06.23.18,2,12 Wks,10.06.18
The Jester,Badflower,07.27.19,1,1 WKS,11.30.19
30,Badflower,08.01.20,2,12 Wks,11.21.20
F*ck The World,Badflower,03.20.21,10,12 Wks,07.03.21
Don't Hate Me,Badflower,08.28.21,11,12 Wks,10.30.21
Animal,Badflower,12.31.16,28,12 Wks,04.01.17
Family,Badflower,03.05.22,20,12 Wks,04.30.22
Heaven Nor Hell,Volbeat,09.15.12,1,1 WKS,02.09.13
A Warrior's Call,Volbeat,09.10.11,2,12 Wks,02.04.12
Still Counting,Volbeat,03.31.12,1,2 WKS,07.21.12
The Hangman's Body Count,Volbeat,04.06.13,1,3 WKS,06.01.13
The Devil's Bleeding Crown,Volbeat,04.23.16,1,9 WKS,05.21.16
Lola Montez,Volbeat,09.07.13,1,1 WKS,12.07.13
Seal The Deal,Volbeat,09.17.16,3,12 Wks,12.03.16
Dead But Rising,Volbeat,02.08.14,3,12 Wks,05.17.14
Fallen,Volbeat,04.02.11,11,12 Wks,08.13.11
Die To Live,Volbeat Featuring Neil Fallon,11.16.19,1,1 WKS,03.14.20
Leviathan,Volbeat,06.01.19,5,12 Wks,08.01.20
Last Day Under The Sun,Volbeat,06.22.19,1,4 WKS,08.10.19
Wait A Minute My Girl,Volbeat,06.12.21,1,3 WKS,08.21.21
Shotgun Blues,Volbeat,10.09.21,1,3 WKS,12.18.21
Becoming,Volbeat,09.24.22,21,12 Wks,11.26.22
Temple Of Ekur,Volbeat,03.19.22,8,12 Wks,06.25.22
Black Rose,Volbeat Featuring Danko Jones,03.18.17,1,1 WKS,06.24.17
Doc Holliday,Volbeat,09.27.14,9,12 Wks,11.15.14
KING OF PAIN,The Police,07.09.83,1,5 WKS,08.27.83
SYNCHRONICITY II,The Police,07.16.83,9,12 Wks,12.10.83
Every Little Thing She Does Is Magic,The Police,09.26.81,1,2 WKS,12.12.81
WRAPPED AROUND YOUR FINGER,The Police,07.09.83,9,12 Wks,09.03.83
Spirits In The Material World,The Police,12.05.81,7,12 Wks,01.30.82
EVERY BREATH YOU TAKE,The Police,06.04.83,1,9 WKS,06.11.83
SECRET JOURNEY,The Police,02.06.82,29,12 Wks,05.29.82
I BURN FOR YOU,The Police,12.04.82,27,12 Wks,12.25.82
Don't Stand So Close To Me '86,The Police,10.25.86,10,12 Wks,11.15.86
Don't Stand So Close To Me,The Police,03.21.81,11,12 Wks,03.21.81
Driven To Tears,The Police,03.28.81,35,12 Wks,04.04.81
Hurts So Good,John Cougar,05.01.82,1,1 WKS,06.19.82
Get A Leg Up,John Mellencamp,10.05.91,1,3 WKS,10.19.91
Just Another Day,John Mellencamp,11.30.96,13,12 Wks,01.25.97
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),John Mellencamp,09.14.85,6,12 Wks,10.19.85
Love & Happiness,John Mellencamp,11.02.91,5,12 Wks,01.04.92
Now More Than Ever,John Mellencamp,04.04.92,3,12 Wks,06.13.92
Cherry Bomb,John Mellencamp,09.05.87,1,1 WKS,11.14.87
Rain On The Scarecrow,John Mellencamp,09.21.85,28,12 Wks,11.02.85
Again Tonight,John Mellencamp,01.25.92,1,2 WKS,03.07.92
Small Town,John Mellencamp,09.14.85,2,12 Wks,11.09.85
Human Wheels,John Mellencamp,09.18.93,2,12 Wks,11.06.93
Wild Night,John Mellencamp With Me'Shell Ndegeocello,05.28.94,17,12 Wks,07.02.94
PINK HOUSES,John Mellencamp,10.29.83,3,12 Wks,01.07.84
Crumblin' Down,John Cougar Mellencamp,10.15.83,2,12 Wks,12.03.83
Lonely Ol' Night,John Mellencamp,08.17.85,1,5 WKS,09.07.85
Your Life Is Now,John Mellencamp,09.19.98,15,12 Wks,10.24.98
Key West Intermezzo (I Saw You First),John Mellencamp,08.17.96,10,12 Wks,10.05.96
What If I Came Knocking,John Mellencamp,07.24.93,1,2 WKS,08.28.93
Without Expression,John Mellencamp,11.29.97,25,12 Wks,01.24.98
Justice & Independence,John Mellencamp,11.30.85,28,12 Wks,02.01.86
Hard Times For An Honest Man,John Mellencamp,09.05.87,10,12 Wks,10.10.87
Check It Out,John Mellencamp,02.06.88,3,12 Wks,03.05.88
The Real Life,John Mellencamp,09.12.87,3,12 Wks,01.16.88
Minutes To Memories,John Mellencamp,01.18.86,14,12 Wks,02.22.86
Paper In Fire,John Mellencamp,08.15.87,1,5 WKS,08.22.87
Last Chance,John Mellencamp,07.04.92,12,12 Wks,08.01.92
Martha Say,John Mellencamp,05.20.89,8,12 Wks,06.17.89
The Authority Song,John Cougar Mellencamp,02.18.84,15,12 Wks,05.12.84
Jack & Diane,John Cougar,06.26.82,3,12 Wks,09.11.82
Rumbleseat,John Mellencamp,07.05.86,4,12 Wks,07.26.86
Rooty Toot Toot,John Mellencamp,05.07.88,7,12 Wks,06.11.88
Dance Naked,John Mellencamp,10.15.94,21,12 Wks,11.26.94
Let It All Hang Out,John Mellencamp,06.03.89,42,12 Wks,07.01.89
Jackie Brown,John Mellencamp,07.08.89,20,12 Wks,08.12.89
Pop Singer,John Mellencamp,04.29.89,2,12 Wks,05.06.89
Under The Boardwalk,John Mellencamp,02.15.86,19,12 Wks,03.01.86
Rave On,John Mellencamp,09.10.88,17,12 Wks,10.08.88
Rain On The Scarecrow,John Mellencamp,05.03.86,16,12 Wks,05.24.86
Thundering Hearts,John Cougar,09.25.82,36,12 Wks,09.25.82
PLAY GUITAR,John Mellencamp,02.04.84,28,12 Wks,02.18.84
When Jesus Left Birmingham,John Mellencamp,12.18.93,35,12 Wks,12.25.93
Junior,John Mellencamp,02.05.94,35,12 Wks,02.19.94
I'm Not Running Anymore,John Mellencamp,02.13.99,37,12 Wks,02.20.99
Serious Business,John Cougar Mellencamp,01.28.84,34,12 Wks,01.28.84
Peaceful World,John Mellencamp Featuring India.Arie,10.06.01,38,12 Wks,10.20.01
Ain't Even Done With The Night,John Cougar,03.21.81,44,12 Wks,03.28.81
Down With The Sickness,Disturbed,06.16.01,5,12 Wks,10.06.01
Inside The Fire,Disturbed,04.12.08,1,14 WKS,05.17.08
Land Of Confusion,Disturbed,07.15.06,1,3 WKS,11.04.06
Prayer,Disturbed,08.17.02,3,12 Wks,10.05.02
Stricken,Disturbed,08.06.05,2,12 Wks,11.26.05
Indestructible,Disturbed,09.13.08,2,12 Wks,01.03.09
Stupify,Disturbed,05.20.00,12,12 Wks,09.09.00
Remember,Disturbed,12.28.02,6,12 Wks,04.12.03
Just Stop,Disturbed,12.31.05,4,12 Wks,04.15.06
Another Way To Die,Disturbed,07.03.10,1,8 WKS,08.07.10
The Sound Of Silence,Disturbed,02.06.16,1,7 WKS,03.19.16
The Night,Disturbed,02.28.09,2,12 Wks,05.09.09
The Animal,Disturbed,10.23.10,2,12 Wks,01.29.11
Liberate,Disturbed,06.21.03,4,12 Wks,11.01.03
Open Your Eyes,Disturbed,08.06.16,1,1 WKS,11.26.16
Voices,Disturbed,12.16.00,16,12 Wks,02.17.01
Ten Thousand Fists,Disturbed,12.23.06,7,12 Wks,02.24.07
Are You Ready,Disturbed,08.25.18,1,8 WKS,09.29.18
The Light,Disturbed,10.17.15,1,5 WKS,12.19.15
Guarded,Disturbed,07.09.05,7,12 Wks,07.30.05
Warrior,Disturbed,03.26.11,4,12 Wks,06.25.11
The Vengeful One,Disturbed,07.11.15,1,1 WKS,08.29.15
Hell,Disturbed,10.22.11,15,12 Wks,12.10.11
A Reason To Fight,Disturbed,01.19.19,1,3 WKS,03.30.19
No More,Disturbed,06.08.19,1,4 WKS,09.07.19
Hold On To Memories,Disturbed,01.18.20,3,12 Wks,04.18.20
