Decade,Song,Artist,Weeks at Number One,Date,Song of the Year
1980,Hate to Lose Your Lovin',Little Feat,4,1988-08-20,False
1980,Don't You Know What the Night Can Do?,Steve Winwood,2,1988-09-17,False
1980,I'm Not Your Man,Tommy Conwell & The Young Rumblers,1,1988-10-01,False
1980,Desire,U2,5,1988-10-08,False
1980,It's Money That Matters,Randy Newman,2,1988-11-12,False
1980,Orange Crush,R.E.M.,2,1988-11-26,False
1980,Angel of Harlem,U2,6,1988-12-10,False
1980,Got It Made,"Crosby, Stills, Nash & Young",2,1989-01-21,False
1980,The Love in Your Eyes,Eddie Money,1,1989-02-04,False
1980,Stand,R.E.M.,1,1989-02-11,False
1980,Driven Out,The Fixx,4,1989-02-18,False
1980,Working on It,Chris Rea,1,1989-03-18,False
1980,I'll Be You,The Replacements,3,1989-03-25,False
1980,Now You're in Heaven,Julian Lennon,1,1989-04-15,False
1980,I Won't Back Down,Tom Petty,5,1989-04-22,False
1980,The Doctor,The Doobie Brothers,3,1989-05-27,False
1980,Rooms on Fire,Stevie Nicks,1,1989-06-17,False
1980,Runnin' Down a Dream,Tom Petty,1,1989-06-24,False
1980,The End of the Innocence,Don Henley,4,1989-07-01,False
1980,Crossfire,Stevie Ray Vaughan and Double Trouble,3,1989-07-29,False
1980,Let the Day Begin,The Call,1,1989-08-19,False
1980,Free Fallin',Tom Petty,1,1989-08-26,True
1980,Mixed Emotions,The Rolling Stones,5,1989-09-02,False
1980,Love in an Elevator,Aerosmith,2,1989-10-07,False
1980,Rock and a Hard Place,The Rolling Stones,5,1989-10-21,False
1980,Pretending,Eric Clapton,5,1989-11-25,False
1980,Show Don't Tell,Rush,1,1989-12-30,False
1990,Show Don't Tell,Rush,1,1990-01-06,False
1990,Downtown Train,Rod Stewart,2,1990-01-13,False
1990,Bad Love,Eric Clapton,3,1990-01-27,False
1990,Black Velvet,Alannah Myles,1,1990-02-17,False
1990,What It Takes,Aerosmith,1,1990-02-24,True
1990,Black Velvet,Alannah Myles,1,1990-03-03,False
1990,Almost Hear You Sigh,The Rolling Stones,1,1990-03-10,False
1990,Blue Sky Mine,Midnight Oil,1,1990-03-17,False
1990,Hurting Kind,Robert Plant,6,1990-03-24,False
1990,Coming of Age,Damn Yankees,1,1990-05-05,False
