Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date,Scraped Band
Straight To Hell,Ozzy Osbourne,12.07.19,16,12 Wks,02.01.20,Ozzy-Osbourne
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,10.05.19,26,12 Wks,01.18.20,Ozzy-Osbourne
Black Rain,Ozzy Osbourne,12.08.07,19,12 Wks,02.16.08,Ozzy-Osbourne
You Cant Kill Rock And Roll,Ozzy Osbourne,01.23.82,41,12 Wks,02.27.82,Ozzy-Osbourne
Bark At The Moon,Ozzy Osbourne,12.10.83,12,12 Wks,01.07.84,Ozzy-Osbourne
Shot In The Dark,Ozzy Osbourne,02.08.86,10,12 Wks,04.05.86,Ozzy-Osbourne
Changes,Ozzy Osbourne,06.05.93,9,12 Wks,06.19.93,Ozzy-Osbourne
Mississippi Queen,Ozzy Osbourne,03.12.05,10,12 Wks,04.09.05,Ozzy-Osbourne
A Thousand Shades,Ozzy Osbourne Featuring Jeff Beck,03.04.23,18,12 Wks,03.25.23,Ozzy-Osbourne
Let It Die,Ozzy Osbourne,02.05.11,21,12 Wks,02.26.11,Ozzy-Osbourne
Close My Eyes Forever,Lita Ford (Duet With Ozzy Osbourne),04.29.89,25,12 Wks,06.17.89,Ozzy-Osbourne
Iron Man/Children Of The Grave,Ozzy Osbourne,12.25.82,32,12 Wks,01.29.83,Ozzy-Osbourne
Over The Mountain,Ozzy Osbourne,02.06.82,38,12 Wks,03.13.82,Ozzy-Osbourne
Walk On Water,Ozzy Osbourne,11.23.96,28,12 Wks,12.28.96,Ozzy-Osbourne
I Just Want You,Ozzy Osbourne,05.18.96,24,12 Wks,06.08.96,Ozzy-Osbourne
PARANOID,Ozzy Osbourne,12.25.82,25,12 Wks,01.22.83,Ozzy-Osbourne
Shock The Monkey,Coal Chamber Featuring Ozzy Osbourne,10.16.99,26,12 Wks,11.06.99,Ozzy-Osbourne
ROCK 'N' ROLL REBEL,Ozzy Osbourne,02.11.84,40,12 Wks,03.03.84,Ozzy-Osbourne
Mr. Tinkertrain,Ozzy Osbourne,09.19.92,34,12 Wks,09.26.92,Ozzy-Osbourne
Figure It Out,Royal Blood,08.23.14,3,12 Wks,12.06.14,Royal-Blood
Trouble's Coming,Royal Blood,10.03.20,1,2 WKS,02.13.21,Royal-Blood
Lights Out,Royal Blood,05.06.17,1,3 WKS,08.26.17,Royal-Blood
Little Monster,Royal Blood,03.28.15,1,1 WKS,07.25.15,Royal-Blood
Out Of The Black,Royal Blood,03.22.14,2,12 Wks,06.28.14,Royal-Blood
I Only Lie When I Love You,Royal Blood,10.28.17,1,6 WKS,01.03.18,Royal-Blood
Typhoons,Royal Blood,04.03.21,9,12 Wks,07.24.21,Royal-Blood
Hole In Your Heart,Royal Blood,03.31.18,10,12 Wks,05.19.18,Royal-Blood
Pull Me Through,Royal Blood,08.19.23,20,12 Wks,10.07.23,Royal-Blood
The Red,Chevelle,07.20.02,3,12 Wks,02.01.03,Chevelle
Send The Pain Below,Chevelle,02.08.03,1,4 WKS,07.12.03,Chevelle
Face To The Floor,Chevelle,10.22.11,1,12 WKS,12.03.11,Chevelle
Hats Off To The Bull,Chevelle,03.10.12,2,12 Wks,06.09.12,Chevelle
Jars,Chevelle,07.11.09,3,12 Wks,10.24.09,Chevelle
The Clincher,Chevelle,01.22.05,3,12 Wks,05.07.05,Chevelle
Vitamin R (Leading Us Along),Chevelle,08.21.04,1,2 WKS,12.18.04,Chevelle
Mars Simula,Chevelle,05.15.21,3,12 Wks,09.25.21,Chevelle
I Get It,Chevelle,06.30.07,5,12 Wks,09.01.07,Chevelle
Same Old Trip,Chevelle,09.29.12,7,12 Wks,02.16.13,Chevelle
Closure,Chevelle,09.20.03,17,12 Wks,01.24.04,Chevelle
Door To Door Cannibals,Chevelle,10.15.16,11,12 Wks,01.28.17,Chevelle
Take Out The Gunman,Chevelle,02.22.14,1,3 WKS,04.26.14,Chevelle
Letter From A Thief,Chevelle,12.26.09,3,12 Wks,04.10.10,Chevelle
Joyride (Omen),Chevelle,05.28.16,1,4 WKS,08.13.16,Chevelle
Self Destructor,Chevelle,01.16.21,1,3 WKS,03.20.21,Chevelle
Well Enough Alone,Chevelle,02.17.07,4,12 Wks,04.21.07,Chevelle
Hunter Eats Hunter,Chevelle,07.12.14,10,12 Wks,09.06.14,Chevelle
The Fad,Chevelle,02.02.08,13,12 Wks,03.08.08,Chevelle
Sleep Walking Elite,Chevelle,11.10.18,27,12 Wks,12.01.18,Chevelle
An Island,Chevelle,11.15.14,17,12 Wks,12.27.14,Chevelle
Panic Prone,Chevelle,08.06.05,26,12 Wks,09.03.05,Chevelle
Rivers,Chevelle,06.03.17,22,12 Wks,08.05.17,Chevelle
Shameful Metaphors,Chevelle,09.04.10,28,12 Wks,10.16.10,Chevelle
Point #1,Chevelle,02.26.00,40,12 Wks,02.26.00,Chevelle
Steam,Peter Gabriel,11.07.92,2,12 Wks,12.19.92,Peter-Gabriel
In Your Eyes,Peter Gabriel,06.21.86,1,1 WKS,09.13.86,Peter-Gabriel
Big Time,Peter Gabriel,11.29.86,3,12 Wks,01.17.87,Peter-Gabriel
Sledgehammer,Peter Gabriel,05.03.86,1,2 WKS,05.31.86,Peter-Gabriel
Digging In The Dirt,Peter Gabriel,09.12.92,1,1 WKS,10.31.92,Peter-Gabriel
Red Rain,Peter Gabriel,06.14.86,3,12 Wks,07.26.86,Peter-Gabriel
SHOCK THE MONKEY,Peter Gabriel,10.02.82,1,2 WKS,11.13.82,Peter-Gabriel
Kiss That Frog,Peter Gabriel,03.06.93,18,12 Wks,03.20.93,Peter-Gabriel
That Voice Again,Peter Gabriel,10.18.86,14,12 Wks,11.15.86,Peter-Gabriel
I Go Swimming,Peter Gabriel,08.06.83,38,12 Wks,08.06.83,Peter-Gabriel
Secret World,Peter Gabriel,07.17.93,34,12 Wks,07.24.93,Peter-Gabriel
I HAVE THE TOUCH,Peter Gabriel,12.25.82,46,12 Wks,12.25.82,Peter-Gabriel
Red Rain (Live),Peter Gabriel,10.01.94,33,12 Wks,10.08.94,Peter-Gabriel
Kiss Of Life,Peter Gabriel,10.30.82,34,12 Wks,10.30.82,Peter-Gabriel
Fire And Ice,Pat Benatar,07.18.81,2,12 Wks,08.01.81,Pat-Benatar
Promises In The Dark,Pat Benatar,07.25.81,16,12 Wks,09.26.81,Pat-Benatar
SHADOWS OF THE NIGHT,Pat Benatar,10.16.82,3,12 Wks,11.06.82,Pat-Benatar
Just Like Me,Pat Benatar,07.18.81,15,12 Wks,09.26.81,Pat-Benatar
Love Is A Battlefield,Pat Benatar,10.01.83,1,4 WKS,10.22.83,Pat-Benatar
LOOKING FOR A STRANGER,Pat Benatar,12.11.82,4,12 Wks,01.15.83,Pat-Benatar
Invincible,Pat Benatar,06.29.85,4,12 Wks,08.03.85,Pat-Benatar
We Belong,Pat Benatar,10.27.84,3,12 Wks,11.24.84,Pat-Benatar
All Fired Up,Pat Benatar,07.02.88,2,12 Wks,08.06.88,Pat-Benatar
Sex As A Weapon,Pat Benatar,11.23.85,5,12 Wks,12.21.85,Pat-Benatar
Everybody Lay Down,Pat Benatar,05.29.93,3,12 Wks,06.26.93,Pat-Benatar
Take It Anyway You Want It,Pat Benatar,07.25.81,32,12 Wks,08.15.81,Pat-Benatar
Payin' The Cost To Be The Boss,Pat Benatar,04.06.91,17,12 Wks,04.27.91,Pat-Benatar
Diamond Field,Pat Benatar,12.08.84,20,12 Wks,12.22.84,Pat-Benatar
Little Too Late,Pat Benatar,03.05.83,38,12 Wks,03.19.83,Pat-Benatar
Le Bel Age,Pat Benatar,01.25.86,19,12 Wks,02.15.86,Pat-Benatar
ooh-ooh Song,Pat Benatar,01.19.85,22,12 Wks,02.09.85,Pat-Benatar
Don't Walk Away,Pat Benatar,09.24.88,44,12 Wks,10.15.88,Pat-Benatar
THE VICTIM,Pat Benatar,12.18.82,23,12 Wks,12.18.82,Pat-Benatar
Treat Me Right,Pat Benatar,03.21.81,31,12 Wks,03.21.81,Pat-Benatar
Amnesia,Red Sun Rising,08.27.16,6,12 Wks,02.18.17,Red-Sun-Rising
Emotionless,Red Sun Rising,01.23.16,1,2 WKS,05.07.16,Red-Sun-Rising
The Otherside,Red Sun Rising,06.27.15,1,1 WKS,10.31.15,Red-Sun-Rising
Deathwish,Red Sun Rising,01.27.18,7,12 Wks,05.26.18,Red-Sun-Rising
Veins,Red Sun Rising,09.22.18,30,12 Wks,10.13.18,Red-Sun-Rising
I Miss The Misery,Halestorm,07.14.12,2,12 Wks,09.29.12,Halestorm
I Get Off,Halestorm,04.18.09,6,12 Wks,08.01.09,Halestorm
Freak Like Me,Halestorm,12.29.12,1,2 WKS,04.13.13,Halestorm
It's Not You,Halestorm,11.21.09,8,12 Wks,03.20.10,Halestorm
Love Bites (So Do I),Halestorm,02.11.12,2,12 Wks,05.19.12,Halestorm
I Am The Fire,Halestorm,09.19.15,3,12 Wks,12.26.15,Halestorm
Here's To Us,Halestorm,06.08.13,15,12 Wks,09.14.13,Halestorm
Mz. Hyde,Halestorm,11.09.13,15,12 Wks,02.22.14,Halestorm
Uncomfortable,Halestorm,06.16.18,1,2 WKS,08.25.18,Halestorm
Black Vultures,Halestorm,09.14.19,25,12 Wks,11.30.19,Halestorm
Do Not Disturb,Halestorm,11.03.18,8,12 Wks,02.23.19,Halestorm
Apocalyptic,Halestorm,01.31.15,1,1 WKS,03.28.15,Halestorm
Mayhem,Halestorm,03.12.16,7,12 Wks,07.02.16,Halestorm
Amen,Halestorm,05.16.15,1,1 WKS,08.01.15,Halestorm
Back From The Dead,Halestorm,08.28.21,1,1 WKS,11.06.21,Halestorm
The Steeple,Halestorm,02.19.22,1,1 WKS,06.04.22,Halestorm
Wicked Ways,Halestorm,07.30.22,15,12 Wks,10.29.22,Halestorm
Vicious,Halestorm,04.20.19,13,12 Wks,06.22.19,Halestorm
Still Of The Night,Halestorm,02.04.17,20,12 Wks,03.11.17,Halestorm
Familiar Taste Of Poison,Halestorm,07.31.10,36,12 Wks,08.14.10,Halestorm
Bet U Wish U Had Me Back,Halestorm,01.29.11,33,12 Wks,02.19.11,Halestorm
Crazy Bitch,Buckcherry,03.04.06,3,12 Wks,06.24.06,Buckcherry
Lit Up,Buckcherry,03.27.99,1,3 WKS,06.05.99,Buckcherry
Everything,Buckcherry,01.27.07,6,12 Wks,04.28.07,Buckcherry
Rescue Me,Buckcherry,11.29.08,11,12 Wks,04.04.09,Buckcherry
Next 2 You,Buckcherry,08.26.06,18,12 Wks,11.18.06,Buckcherry
All Night Long,Buckcherry,06.05.10,10,12 Wks,08.21.10,Buckcherry
Too Drunk...,Buckcherry,08.02.08,7,12 Wks,09.27.08,Buckcherry
Talk To Me,Buckcherry,07.25.09,17,12 Wks,10.03.09,Buckcherry
Ridin',Buckcherry,02.24.01,9,12 Wks,04.21.01,Buckcherry
Dead,Buckcherry,10.23.10,17,12 Wks,01.01.11,Buckcherry
Gluttony,Buckcherry,01.19.13,24,12 Wks,03.30.13,Buckcherry
Sorry,Buckcherry,03.08.08,32,12 Wks,03.29.08,Buckcherry
Broken Glass,Buckcherry,07.28.07,28,12 Wks,08.11.07,Buckcherry
For The Movies,Buckcherry,08.21.99,25,12 Wks,09.25.99,Buckcherry
Bent,Buckcherry,03.02.19,31,12 Wks,05.04.19,Buckcherry
Bring It On Back,Buckcherry,07.18.15,30,12 Wks,10.03.15,Buckcherry
It's A Party,Buckcherry,02.05.11,30,12 Wks,02.19.11,Buckcherry
Check Your Head,Buckcherry,02.19.00,29,12 Wks,03.04.00,Buckcherry
Dead Again,Buckcherry,12.04.99,38,12 Wks,12.04.99,Buckcherry
Your Decision,Alice In Chains,12.19.09,1,8 WKS,02.27.10,Alice-in-Chains
Check My Brain,Alice In Chains,08.29.09,1,8 WKS,10.03.09,Alice-in-Chains
Would?,Alice In Chains,08.08.92,19,12 Wks,12.14.96,Alice-in-Chains
No Excuses,Alice In Chains,02.12.94,1,2 WKS,03.26.94,Alice-in-Chains
I Stay Away,Alice In Chains,05.14.94,10,12 Wks,07.02.94,Alice-in-Chains
Over Now,Alice In Chains,08.03.96,4,12 Wks,09.21.96,Alice-in-Chains
Heaven Beside You,Alice In Chains,12.23.95,3,12 Wks,03.16.96,Alice-in-Chains
Again,Alice In Chains,05.11.96,8,12 Wks,07.06.96,Alice-in-Chains
Down In A Hole,Alice In Chains,10.02.93,10,12 Wks,12.11.93,Alice-in-Chains
Got Me Wrong,Alice In Chains,12.31.94,7,12 Wks,03.04.95,Alice-in-Chains
Rooster,Alice In Chains,03.13.93,7,12 Wks,04.24.93,Alice-in-Chains
Man In The Box,Alice In Chains,04.13.91,18,12 Wks,07.06.91,Alice-in-Chains
Lesson Learned,Alice In Chains,06.26.10,4,12 Wks,09.04.10,Alice-in-Chains
Hollow,Alice In Chains,01.05.13,1,5 WKS,03.02.13,Alice-in-Chains
Stone,Alice In Chains,04.13.13,1,3 WKS,06.22.13,Alice-in-Chains
Voices,Alice In Chains,08.17.13,3,12 Wks,11.23.13,Alice-in-Chains
Get Born Again,Alice In Chains,06.12.99,4,12 Wks,07.17.99,Alice-in-Chains
The One You Know,Alice In Chains,05.19.18,9,12 Wks,07.21.18,Alice-in-Chains
Grind,Alice In Chains,10.21.95,7,12 Wks,11.25.95,Alice-in-Chains
Fear The Voices,Alice In Chains,10.30.99,11,12 Wks,11.20.99,Alice-in-Chains
Never Fade,Alice In Chains,09.08.18,10,12 Wks,10.27.18,Alice-in-Chains
What The Hell Have I,Alice In Chains,07.03.93,19,12 Wks,08.28.93,Alice-in-Chains
Rainier Fog,Alice In Chains,03.30.19,20,12 Wks,05.04.19,Alice-in-Chains
A Looking In View,Alice In Chains,07.18.09,12,12 Wks,08.29.09,Alice-in-Chains
Sea Of Sorrow,Alice In Chains,09.14.91,27,12 Wks,10.19.91,Alice-in-Chains
Them Bones,Alice In Chains,10.17.92,24,12 Wks,11.21.92,Alice-in-Chains
Don't Follow,Alice In Chains,10.29.94,25,12 Wks,12.03.94,Alice-in-Chains
Angry Chair,Alice In Chains,01.30.93,34,12 Wks,02.20.93,Alice-in-Chains
Man In The Box (Live),Alice In Chains,12.30.00,39,12 Wks,12.30.00,Alice-in-Chains
Rock & Roll Girls,John Fogerty,01.19.85,5,12 Wks,02.23.85,John-Fogerty
The Old Man Down The Road,John Fogerty,12.22.84,1,3 WKS,01.26.85,John-Fogerty
Premonition,John Fogerty,06.06.98,19,12 Wks,07.18.98,John-Fogerty
Change In The Weather,John Fogerty,09.27.86,3,12 Wks,11.15.86,John-Fogerty
Centerfield,John Fogerty,03.30.85,4,12 Wks,05.04.85,John-Fogerty
Walking In A Hurricane,John Fogerty,06.21.97,14,12 Wks,07.19.97,John-Fogerty
Eye Of The Zombie,John Fogerty,08.30.86,3,12 Wks,09.20.86,John-Fogerty
Headlines,John Fogerty,10.04.86,27,12 Wks,10.11.86,John-Fogerty
Blueboy,John Fogerty,10.04.97,32,12 Wks,11.01.97,John-Fogerty
CUTS LIKE A KNIFE,Bryan Adams,02.12.83,6,12 Wks,05.14.83,Bryan-Adams
Heaven,Bryan Adams,01.28.84,9,12 Wks,02.18.84,Bryan-Adams
Lonely Nights,Bryan Adams,01.23.82,3,12 Wks,02.20.82,Bryan-Adams
Can't Stop This Thing We Started,Bryan Adams,09.14.91,2,12 Wks,09.28.91,Bryan-Adams
Into The Fire,Bryan Adams,04.18.87,6,12 Wks,06.06.87,Bryan-Adams
It's Only Love,Bryan Adams,11.24.84,7,12 Wks,12.22.84,Bryan-Adams
Somebody,Bryan Adams,01.19.85,1,2 WKS,02.16.85,Bryan-Adams
Run To You,Bryan Adams,11.03.84,1,4 WKS,11.17.84,Bryan-Adams
TAKE ME BACK,Bryan Adams,02.19.83,21,12 Wks,03.26.83,Bryan-Adams
There Will Never Be Another Tonight,Bryan Adams,12.07.91,6,12 Wks,01.25.92,Bryan-Adams
One Night Love Affair,Bryan Adams,08.31.85,7,12 Wks,10.05.85,Bryan-Adams
Hearts On Fire,Bryan Adams,05.30.87,3,12 Wks,07.11.87,Bryan-Adams
FITS YOU GOOD,Bryan Adams,04.03.82,15,12 Wks,05.15.82,Bryan-Adams
Heat Of The Night,Bryan Adams,03.28.87,2,12 Wks,05.09.87,Bryan-Adams
(Everything I Do) I Do It For You,Bryan Adams,06.29.91,10,12 Wks,08.10.91,Bryan-Adams
Diana,Bryan Adams,07.13.85,21,12 Wks,08.03.85,Bryan-Adams
THIS TIME,Bryan Adams,08.13.83,21,12 Wks,08.27.83,Bryan-Adams
Victim Of Love,Bryan Adams,08.08.87,10,12 Wks,09.05.87,Bryan-Adams
I'm READY,Bryan Adams,03.05.83,24,12 Wks,04.23.83,Bryan-Adams
Young Lust,Bryan Adams,09.08.90,7,12 Wks,10.06.90,Bryan-Adams
Touch The Hand,Bryan Adams,05.02.92,13,12 Wks,05.23.92,Bryan-Adams
Thought I'd Died And Gone To Heaven,Bryan Adams,03.07.92,14,12 Wks,04.04.92,Bryan-Adams
It's Only Love,Bryan Adams/Tina Turner,12.07.85,34,12 Wks,12.21.85,Bryan-Adams
STRAIGHT FROM THE HEART,Bryan Adams,06.04.83,32,12 Wks,06.11.83,Bryan-Adams
Summer Of 69',Bryan Adams,12.08.84,40,12 Wks,12.22.84,Bryan-Adams
Kids Wanna Rock,Bryan Adams,12.15.84,42,12 Wks,01.05.85,Bryan-Adams
Another Day,Bryan Adams,04.11.87,33,12 Wks,04.11.87,Bryan-Adams
Christmas Time,Bryan Adams,12.28.85,31,12 Wks,01.11.86,Bryan-Adams
THE ONLY ONE,Bryan Adams,02.19.83,44,12 Wks,02.19.83,Bryan-Adams
Back To You,Bryan Adams,02.07.98,38,12 Wks,02.07.98,Bryan-Adams
Like A Stone,Audioslave,02.01.03,1,12 WKS,04.19.03,Audioslave
Show Me How To Live,Audioslave,06.14.03,2,12 Wks,09.06.03,Audioslave
I Am The Highway,Audioslave,10.04.03,2,12 Wks,02.28.04,Audioslave
Cochise,Audioslave,10.12.02,2,12 Wks,12.21.02,Audioslave
Be Yourself,Audioslave,03.26.05,1,7 WKS,04.09.05,Audioslave
Doesn't Remind Me,Audioslave,07.16.05,2,12 Wks,10.22.05,Audioslave
Original Fire,Audioslave,07.29.06,4,12 Wks,09.02.06,Audioslave
Revelations,Audioslave,10.21.06,6,12 Wks,01.13.07,Audioslave
Out Of Exile,Audioslave,12.03.05,9,12 Wks,02.25.06,Audioslave
What You Are,Audioslave,03.27.04,8,12 Wks,06.05.04,Audioslave
Your Time Has Come,Audioslave,05.14.05,12,12 Wks,07.02.05,Audioslave
We Got The Whip,Audioslave,02.05.05,40,12 Wks,02.05.05,Audioslave
Teardrops,Bring Me The Horizon,11.21.20,2,12 Wks,06.12.21,Bring-Me-the-Horizon
DiE4u,Bring Me The Horizon,10.02.21,5,12 Wks,02.12.22,Bring-Me-the-Horizon
"Go To Hell, For Heaven's Sake",Bring Me The Horizon,05.25.13,22,12 Wks,11.09.13,Bring-Me-the-Horizon
Happy Song,Bring Me The Horizon,01.16.16,2,12 Wks,05.28.16,Bring-Me-the-Horizon
Throne,Bring Me The Horizon,08.15.15,1,2 WKS,12.05.15,Bring-Me-the-Horizon
Mantra,Bring Me The Horizon,09.08.18,5,12 Wks,01.26.19,Bring-Me-the-Horizon
Drown,Bring Me The Horizon,01.03.15,8,12 Wks,05.09.15,Bring-Me-the-Horizon
Sleepwalking,Bring Me The Horizon,01.25.14,14,12 Wks,05.03.14,Bring-Me-the-Horizon
wonderful life,Bring Me The Horizon Featuring Dani Filth,02.09.19,18,12 Wks,05.18.19,Bring-Me-the-Horizon
Strangers,Bring Me The Horizon,07.23.22,10,12 Wks,10.15.22,Bring-Me-the-Horizon
Parasite Eve,Bring Me The Horizon,07.11.20,18,12 Wks,09.12.20,Bring-Me-the-Horizon
Lost,Bring Me The Horizon,06.03.23,18,12 Wks,09.02.23,Bring-Me-the-Horizon
Ludens,Bring Me The Horizon,12.21.19,22,12 Wks,02.01.20,Bring-Me-the-Horizon
Can You Feel My Heart,Bring Me The Horizon,07.19.14,26,12 Wks,08.30.14,Bring-Me-the-Horizon
sugar honey ice & tea,Bring Me The Horizon,08.31.19,33,12 Wks,10.19.19,Bring-Me-the-Horizon
DArkSide,Bring Me The Horizon,12.09.23,31,12 Wks,01.06.24,Bring-Me-the-Horizon
Kool-Aid,Bring Me The Horizon,01.27.24,37,12 Wks,02.17.24,Bring-Me-the-Horizon
Gold On The Ceiling,The Black Keys,04.07.12,9,12 Wks,08.04.12,The-Black-Keys
Lonely Boy,The Black Keys,11.19.11,5,12 Wks,03.17.12,The-Black-Keys
Wild Child,The Black Keys,03.19.22,3,12 Wks,07.16.22,The-Black-Keys
Little Black Submarines,The Black Keys,09.01.12,14,12 Wks,11.24.12,The-Black-Keys
Lo/Hi,The Black Keys,03.16.19,1,2 WKS,05.11.19,The-Black-Keys
Go,The Black Keys,07.20.19,15,12 Wks,10.19.19,The-Black-Keys
Fever,The Black Keys,04.12.14,12,12 Wks,05.31.14,The-Black-Keys
Gotta Get Away,The Black Keys,08.16.14,11,12 Wks,10.25.14,The-Black-Keys
Shine A Little Light,The Black Keys,02.08.20,25,12 Wks,04.18.20,The-Black-Keys
Weight Of Love,The Black Keys,02.07.15,21,12 Wks,03.14.15,The-Black-Keys
Beautiful People (Stay High),The Black Keys,01.27.24,24,12 Wks,03.02.24,The-Black-Keys
Howlin' For You,The Black Keys,05.28.11,39,12 Wks,05.28.11,The-Black-Keys
Spoonman,Soundgarden,03.05.94,3,12 Wks,05.07.94,Soundgarden
Black Hole Sun,Soundgarden,05.14.94,1,7 WKS,07.16.94,Soundgarden
Fell On Black Days,Soundgarden,08.27.94,4,12 Wks,10.22.94,Soundgarden
Pretty Noose,Soundgarden,05.04.96,4,12 Wks,06.22.96,Soundgarden
Blow Up The Outside World,Soundgarden,10.19.96,1,4 WKS,12.28.96,Soundgarden
Burden In My Hand,Soundgarden,06.15.96,1,5 WKS,08.31.96,Soundgarden
Live To Rise,Soundgarden,04.21.12,1,6 WKS,05.19.12,Soundgarden
Been Away Too Long,Soundgarden,10.13.12,1,7 WKS,12.22.12,Soundgarden
By Crooked Steps,Soundgarden,02.23.13,1,2 WKS,05.04.13,Soundgarden
My Wave,Soundgarden,11.05.94,11,12 Wks,12.17.94,Soundgarden
Halfway There,Soundgarden,07.06.13,13,12 Wks,09.07.13,Soundgarden
The Day I Tried To Live,Soundgarden,03.25.95,13,12 Wks,05.20.95,Soundgarden
Rhinosaur,Soundgarden,03.29.97,19,12 Wks,05.03.97,Soundgarden
Black Rain,Soundgarden,08.28.10,10,12 Wks,09.18.10,Soundgarden
Bleed Together,Soundgarden,11.08.97,13,12 Wks,11.29.97,Soundgarden
Outshined,Soundgarden,01.11.92,45,12 Wks,02.08.92,Soundgarden
Pink,Aerosmith,05.17.97,1,4 WKS,09.06.97,Aerosmith
Falling In Love (Is Hard On The Knees),Aerosmith,03.01.97,1,5 WKS,03.08.97,Aerosmith
Deuces Are Wild,Aerosmith,01.15.94,1,4 WKS,02.26.94,Aerosmith
Jaded,Aerosmith,01.27.01,1,5 WKS,02.10.01,Aerosmith
Amazing,Aerosmith,10.30.93,3,12 Wks,11.13.93,Aerosmith
I Don't Want To Miss A Thing,Aerosmith,05.30.98,4,12 Wks,07.11.98,Aerosmith
What Kind Of Love Are You On,Aerosmith,07.25.98,4,12 Wks,10.10.98,Aerosmith
Livin' On The Edge,Aerosmith,04.10.93,1,9 WKS,04.10.93,Aerosmith
Cryin',Aerosmith,06.05.93,1,6 WKS,07.17.93,Aerosmith
Taste Of India,Aerosmith,12.13.97,3,12 Wks,02.14.98,Aerosmith
What It Takes,Aerosmith,01.13.90,1,1 WKS,02.24.90,Aerosmith
Janie's Got A Gun,Aerosmith,09.23.89,2,12 Wks,11.04.89,Aerosmith
Eat The Rich,Aerosmith,05.01.93,5,12 Wks,06.05.93,Aerosmith
Rag Doll,Aerosmith,09.12.87,12,12 Wks,11.07.87,Aerosmith
"Baby, Please Don't Go",Aerosmith,03.20.04,7,12 Wks,04.10.04,Aerosmith
Sweet Emotion,Aerosmith,12.07.91,36,12 Wks,12.14.91,Aerosmith
Hole In My Soul,Aerosmith,05.10.97,4,12 Wks,07.19.97,Aerosmith
The Other Side,Aerosmith,06.16.90,1,2 WKS,07.28.90,Aerosmith
Blind Man,Aerosmith,11.05.94,3,12 Wks,12.10.94,Aerosmith
Just Push Play,Aerosmith,05.05.01,10,12 Wks,06.30.01,Aerosmith
Devil's Got A New Disguise,Aerosmith,09.30.06,15,12 Wks,11.04.06,Aerosmith
Legendary Child,Aerosmith,06.09.12,17,12 Wks,07.07.12,Aerosmith
Angel's Eye,Aerosmith,10.28.00,4,12 Wks,12.16.00,Aerosmith
Crazy,Aerosmith,05.21.94,7,12 Wks,07.02.94,Aerosmith
Angel,Aerosmith,01.30.88,2,12 Wks,03.05.88,Aerosmith
Chip Away The Stone,Aerosmith,11.26.88,13,12 Wks,01.14.89,Aerosmith
Hang Man Jury,Aerosmith,11.14.87,14,12 Wks,12.26.87,Aerosmith
Love In An Elevator,Aerosmith,09.02.89,1,2 WKS,10.07.89,Aerosmith
Girls Of Summer,Aerosmith,06.01.02,25,12 Wks,06.29.02,Aerosmith
Dude (Looks Like A Lady),Aerosmith,08.29.87,4,12 Wks,09.05.87,Aerosmith
Sunshine,Aerosmith,10.27.01,23,12 Wks,11.17.01,Aerosmith
Let The Music Do The Talking,Aerosmith,11.02.85,18,12 Wks,11.23.85,Aerosmith
Sheila,Aerosmith,12.21.85,20,12 Wks,02.01.86,Aerosmith
Fever,Aerosmith,09.04.93,5,12 Wks,10.02.93,Aerosmith
LIGHTNING STRIKES,Aerosmith,10.09.82,21,12 Wks,10.23.82,Aerosmith
F.I.N.E.,Aerosmith,11.25.89,14,12 Wks,01.13.90,Aerosmith
Monkey On My Back,Aerosmith,04.14.90,17,12 Wks,05.12.90,Aerosmith
Lover Alot,Aerosmith,09.29.12,31,12 Wks,10.20.12,Aerosmith
Walk On Water,Aerosmith,01.28.95,16,12 Wks,02.18.95,Aerosmith
Love Me Two Times,Aerosmith,08.25.90,27,12 Wks,09.08.90,Aerosmith
Helter Skelter,Aerosmith,11.16.91,21,12 Wks,11.16.91,Aerosmith
Magic Touch,Aerosmith,05.21.88,42,12 Wks,06.04.88,Aerosmith
Rockin' Pneumonia Boogie Woogie Flu,Aerosmith,01.23.88,44,12 Wks,01.23.88,Aerosmith
Nine Lives,Aerosmith,04.19.97,37,12 Wks,04.19.97,Aerosmith
SHAKIN',Eddie Money,07.24.82,9,12 Wks,09.25.82,Eddie-Money
The Love In Your Eyes,Eddie Money,12.10.88,1,1 WKS,02.04.89,Eddie-Money
Take Me Home Tonight,Eddie Money,08.09.86,1,2 WKS,09.20.86,Eddie-Money
I Wanna Go Back,Eddie Money,12.20.86,3,12 Wks,02.07.87,Eddie-Money
THINK I'm IN LOVE,Eddie Money,07.03.82,1,3 WKS,08.07.82,Eddie-Money
We Should Be Sleeping,Eddie Money,10.25.86,18,12 Wks,11.22.86,Eddie-Money
She Takes My Breath Away,Eddie Money,11.16.91,5,12 Wks,01.11.92,Eddie-Money
Walk On Water,Eddie Money,10.01.88,2,12 Wks,10.15.88,Eddie-Money
Peace In Our Time,Eddie Money,12.02.89,2,12 Wks,01.13.90,Eddie-Money
Endless Nights,Eddie Money,03.21.87,10,12 Wks,05.09.87,Eddie-Money
BIG CRASH,Eddie Money,11.26.83,17,12 Wks,12.24.83,Eddie-Money
Heaven In The Back Seat,Eddie Money,09.14.91,6,12 Wks,09.28.91,Eddie-Money
I'm Movin On,Eddie Money,09.29.84,25,12 Wks,10.27.84,Eddie-Money
